,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
24,181,50,51,1,7,37,17,4,18,43,42,3,29,15,4,18,20,80,31,28,0,0,0
25,482,6,1,7,37,17,31,2,46,45,3,23,19,2,19,30,12,40,38,27,0,0,0
26,20,6,1,7,10,17,31,12,48,21,3,41,15,31,12,13,5,11,82,8,27,0,0
27,20,66,57,56,49,26,16,174,3,90,26,16,13,5,11,76,36,25,0,0,0,0,0
28,20,6,1,22,10,17,9,16,24,91,3,47,39,9,16,13,5,11,79,30,27,0,0
29,457,32,33,1,22,37,17,4,44,24,21,3,29,39,4,44,13,5,11,77,5,27,0
30,1650,6,1,7,10,14,4,18,115,3,47,15,4,18,13,5,11,36,8,28,0,0,0
31,331,6,1,7,37,17,9,2,86,97,15,9,2,4,9,16,38,30,52,0,0,0,0
32,20,6,67,7,10,14,31,2,175,53,3,23,15,19,2,13,5,11,62,30,52,0,0
33,20,6,1,22,49,4,112,24,21,3,23,4,112,13,5,11,36,40,28,0,0,0,0
34,2702,6,1,7,10,17,4,44,43,42,3,23,4,44,4,9,16,73,40,28,0,0,0
35,4456,6,1,22,10,14,4,44,24,21,3,29,39,8,12,9,19,16,73,26,25,0,0
36,1295,1295,6,1,22,34,14,31,2,24,21,3,29,39,31,2,9,19,16,69,30,52,0
37,2223,6,1,7,10,14,26,2,59,55,128,29,41,26,2,20,82,8,27,0,0,0,0
38,1876,32,33,1,7,37,17,31,2,231,15,19,2,9,19,16,78,26,27,0,0,0,0
39,1245,6,1,7,10,17,4,18,326,353,3,29,23,4,18,4,9,16,73,38,28,0,0
40,346,6,1,7,37,17,8,2,43,42,3,29,58,15,8,2,20,36,4,28,0,0,0
41,237,32,33,1,7,34,14,9,2,59,55,3,41,15,9,2,19,30,12,26,26,28,0
42,281,32,33,1,22,10,17,5,12,107,3,147,102,5,12,13,5,11,80,36,28,0,0
43,262,6,1,7,37,17,4,18,46,45,3,23,15,4,18,20,69,30,25,0,0,0,0
44,765,6,1,7,37,17,4,18,59,55,46,45,23,29,8,2,19,30,12,4,31,25,0
45,195,32,33,1,7,10,14,4,18,46,45,120,127,108,4,18,9,19,16,40,19,25,0
46,20,66,1,165,49,9,2,828,3,15,90,9,2,13,5,11,75,35,25,0,0,0,0
47,417,6,1,22,10,17,4,18,24,21,3,29,39,4,18,4,9,16,73,31,25,0,0
48,1430,6,1,7,10,14,4,18,46,45,3,23,15,4,18,5,30,16,19,35,25,0,0
49,1041,6,1,22,10,17,4,44,24,21,3,29,39,8,12,4,9,16,82,5,27,0,0
50,20,66,1,56,49,4,18,89,29,4,18,13,5,11,69,38,27,0,0,0,0,0,0
51,20,6,1,22,10,17,5,12,24,21,3,29,39,5,12,13,5,11,38,5,28,0,0
52,1369,32,33,1,7,37,17,26,2,46,45,98,23,15,26,2,20,69,5,25,0,0,0
53,158,6,1,7,37,17,40,2,121,116,63,15,40,2,13,5,11,4,4,28,0,0,0
54,684,6,1,7,10,14,38,12,529,106,113,53,15,23,35,12,13,5,11,38,26,27,0
55,1786,50,51,1,7,37,17,31,2,224,7,3,29,31,2,4,9,16,79,26,28,0,0
56,927,32,33,1,22,37,17,19,2,249,250,3,29,39,15,19,2,20,5,8,27,0,0
57,865,6,1,7,10,14,4,18,48,21,3,15,29,4,18,19,30,12,4,36,25,0,0
58,631,50,51,1,7,37,17,9,2,115,122,15,9,2,19,30,12,62,35,27,0,0,0
59,301,50,51,1,7,10,17,31,12,43,42,3,23,15,19,12,4,9,16,78,5,28,0
60,20,6,1,22,10,14,9,2,24,85,84,3,134,102,9,2,4,9,16,40,9,28,0
61,482,6,1,7,37,17,19,2,46,45,3,23,19,2,19,30,12,4,9,25,0,0,0
62,7250,6,57,22,37,17,26,2,24,21,3,47,39,26,2,13,5,11,77,38,27,0,0
63,47,6,1,7,10,14,38,12,47,159,3,47,15,35,12,13,5,11,40,36,25,0,0
64,1622,6,1,7,10,14,8,12,119,3,23,15,8,12,13,5,11,38,8,28,0,0,0
65,20,6,93,7,10,17,4,44,46,45,3,15,8,12,4,9,16,100,5,28,0,0,0
66,20,6,1,22,10,14,9,12,24,21,3,60,39,9,12,9,19,16,64,8,54,0,0
67,2330,32,33,1,7,34,14,9,2,43,42,3,47,9,2,13,5,11,100,36,27,0,0
68,20,6,1,22,49,4,18,24,21,3,29,39,4,18,13,5,11,38,40,28,0,0,0
69,2454,6,1,7,37,17,9,12,204,205,46,45,63,23,9,12,13,5,11,5,40,27,0
70,640,32,33,1,7,37,17,9,2,48,91,157,135,139,41,15,9,2,20,75,8,54,0
71,238,6,57,7,10,14,26,2,117,53,3,15,26,2,13,5,11,38,5,28,0,0,0
72,259,32,33,1,7,37,17,19,2,43,42,3,15,23,19,2,20,69,26,28,0,0,0
73,244,32,33,1,22,10,17,8,2,24,85,84,3,47,8,2,5,30,16,73,31,25,0
74,229,6,1,7,10,14,31,12,434,441,330,46,45,41,23,31,12,13,5,11,35,36,27
75,481,8,6,1,7,10,17,38,12,132,133,86,97,15,23,38,12,13,5,11,30,30,52
76,844,6,1,22,10,14,4,44,24,21,3,60,39,15,8,12,9,19,16,77,19,28,0
77,20,66,1,56,49,4,18,89,29,4,18,13,5,11,100,36,25,0,0,0,0,0,0
78,207,4189,32,33,1,22,10,17,9,2,24,21,3,99,9,2,9,19,16,31,30,52,0
79,2188,6,1,7,10,14,4,18,86,97,86,125,15,4,18,4,9,16,78,38,27,0,0
80,203,50,51,1,7,37,17,31,2,48,21,68,31,2,13,5,11,77,26,27,0,0,0
81,2085,6,1,7,10,14,35,2,46,45,3,23,40,2,4,9,16,70,30,28,0,0,0
82,5693,6,1,7,10,14,13,2,46,45,65,55,68,4,44,5,30,16,62,31,27,0,0
83,20,6,1,22,10,14,8,2,24,21,3,60,39,8,2,4,9,16,74,26,25,0,0
84,32,33,1,7,37,17,4,18,176,177,3,63,146,47,146,4,18,4,9,16,9,31,27
85,8323,6,1,22,10,14,4,44,24,21,3,23,8,12,5,30,16,35,30,28,0,0,0
86,208,6,1,7,10,14,19,12,43,42,3,29,58,15,5,12,9,19,16,83,26,28,0
87,2997,6,1,7,37,17,8,2,59,55,3,63,23,8,2,5,30,16,71,31,25,0,0
88,339,50,51,1,7,34,14,31,2,144,104,15,63,31,2,4,9,16,61,8,25,0,0
89,4290,2063,32,33,1,22,10,17,19,12,24,21,3,101,19,12,13,5,11,38,8,28,0
90,2576,32,33,1,7,37,17,31,12,43,42,3,29,58,15,19,12,13,5,11,77,36,25
91,20,6,1,22,10,14,4,18,24,21,3,47,15,4,18,13,5,11,5,36,27,0,0
92,3904,32,33,1,22,10,17,4,18,24,85,84,3,23,4,18,30,16,19,12,78,36,28
93,396,32,33,1,22,37,17,35,2,24,21,3,47,39,35,2,9,19,16,26,26,25,0
94,640,6,1,7,37,17,9,2,48,91,157,135,139,41,15,9,2,19,30,12,80,5,28
95,1766,6,1,7,10,14,8,12,145,105,46,45,23,15,8,12,13,5,11,9,38,25,0
96,20,6,1,22,10,17,9,16,24,21,3,23,9,16,13,5,11,4,35,27,0,0,0
97,428,558,6,1,7,34,14,31,2,104,15,41,5,2,4,8,2,64,36,27,0,0,0
98,5164,6,1,7,37,17,40,12,46,45,98,23,15,40,12,13,5,11,40,9,27,0,0
99,882,32,33,57,7,10,14,8,2,48,91,3,29,8,2,9,19,16,77,8,54,0,0
100,1889,6,1,7,34,14,26,2,175,53,3,23,15,26,2,13,5,11,35,8,28,0,0
101,173,32,33,154,7,34,14,38,2,121,116,228,387,23,15,38,2,13,5,11,69,5,28
102,248,32,33,1,22,34,14,26,2,24,21,3,29,39,26,2,13,5,11,69,30,27,0
103,142,6,57,7,34,14,9,2,59,55,3,23,41,26,2,4,8,2,64,8,25,0,0
104,495,32,33,1,22,34,14,4,18,24,21,3,29,39,15,4,18,20,19,5,25,0,0
105,992,493,6,57,22,10,17,4,44,24,85,84,3,111,15,4,44,4,9,16,40,19,28
106,9467,6,1,7,10,17,9,2,86,125,86,97,23,9,2,13,5,11,35,9,28,0,0
107,735,32,33,1,7,34,14,4,18,144,3,122,4,18,20,35,4,25,0,0,0,0,0
108,195,6,1,7,10,14,8,2,43,42,3,15,29,8,2,19,30,12,73,31,25,0,0
109,671,6,1,7,10,17,8,2,87,48,21,23,41,8,2,9,19,16,73,19,27,0,0
110,619,6,1,7,10,17,8,2,121,116,92,63,8,2,9,19,16,80,8,54,0,0,0
111,1163,6,1,7,10,14,4,18,128,23,41,4,18,13,5,11,82,35,25,0,0,0,0
112,9087,32,33,1,22,34,14,40,2,24,21,3,29,39,15,40,2,5,30,16,71,31,27
113,20,66,1,56,49,4,18,89,29,4,18,13,5,11,38,38,25,0,0,0,0,0,0
114,1380,32,33,1,22,34,14,9,12,24,21,3,60,39,15,8,12,20,80,36,27,0,0
115,20,6,1,22,10,14,9,16,24,21,3,60,39,9,16,13,5,11,62,19,27,0,0
116,804,6,1,7,10,14,5,12,65,140,3,68,4,18,4,8,2,62,35,25,0,0,0
117,20,66,1,56,49,19,12,89,3,60,41,19,12,13,5,11,74,38,27,0,0,0,0
118,3556,6,1,22,10,14,4,44,24,21,3,47,39,4,44,13,5,11,5,36,25,0,0
119,20,6,1,22,10,14,26,16,24,21,3,23,26,16,13,5,11,19,35,25,0,0,0
120,20,66,1,56,49,26,16,89,63,26,16,13,5,11,36,19,25,0,0,0,0,0,0
121,1012,6,1,7,10,14,5,12,46,45,103,110,92,8,2,4,8,2,9,5,27,0,0
122,20,6,57,22,10,17,26,12,24,85,84,3,101,26,12,13,5,11,4,5,27,0,0
123,20,6,1,56,49,26,16,174,3,90,15,26,16,13,5,11,79,9,28,0,0,0,0
124,230,50,51,1,7,34,14,4,18,117,53,3,68,29,58,4,18,13,5,11,78,4,54
125,20,6,1,22,10,17,26,12,24,21,3,23,26,12,13,5,11,5,30,27,0,0,0
126,254,50,51,1,7,10,14,9,2,128,3,23,41,9,2,4,9,16,72,8,27,0,0
127,20,6,1,22,10,17,9,2,24,85,84,3,101,9,2,13,5,11,76,31,25,0,0
128,722,1130,6,1,7,37,17,8,2,98,3,63,23,8,2,13,5,11,5,30,25,0,0
129,9323,6,1,22,10,17,8,12,24,91,3,23,218,9,12,9,19,16,69,30,25,0,0
130,439,32,33,1,7,34,14,40,2,103,538,15,40,2,30,16,19,12,70,26,28,0,0
131,1041,32,33,1,7,10,17,30,2,86,97,86,125,15,30,2,20,82,40,25,0,0,0
132,1348,32,33,1,7,37,17,4,18,23,143,141,3,41,4,18,20,71,40,27,0,0,0
133,1173,6,93,22,10,17,4,18,24,21,3,23,4,18,30,16,19,12,4,36,25,0,0
134,756,6,1,7,37,17,8,2,104,260,29,15,8,2,20,75,31,25,0,0,0,0,0
135,2885,6,1,7,10,14,4,44,48,21,126,53,108,15,4,18,19,30,12,72,19,25,0
136,421,6,1,7,10,17,8,2,48,21,3,23,41,8,2,13,5,11,75,40,25,0,0
137,158,6,67,22,10,17,4,44,24,21,3,23,4,44,4,9,16,69,36,27,0,0,0
138,20,6,93,7,10,14,31,11,43,42,3,109,31,11,13,5,11,61,9,27,0,0,0
139,223,6,1,7,10,17,4,18,411,412,413,53,3,90,4,18,4,9,16,78,9,25,0
140,20,6,1,7,10,17,8,2,48,91,3,23,41,8,2,13,5,11,36,40,52,0,0
141,3532,32,33,1,22,10,14,9,12,24,21,3,29,39,9,12,13,5,11,8,4,28,0
142,190,32,33,1,7,34,14,31,2,43,42,3,41,29,58,31,2,13,5,11,74,19,25
143,20,32,33,1,22,10,17,19,12,24,21,3,29,39,19,12,13,5,11,36,4,25,0
144,215,6,1,7,37,17,8,2,46,45,3,29,58,8,2,13,5,11,19,40,28,0,0
145,442,6,1,7,37,17,5,2,114,3,47,118,5,2,20,79,19,25,0,0,0,0,0
146,904,6,1,22,37,17,5,12,24,21,3,47,39,15,36,12,13,5,11,80,38,25,0
147,2246,6,1,7,10,14,8,2,306,319,3,15,8,2,13,5,11,72,8,25,0,0,0
148,214,6,1,7,10,14,4,18,46,45,3,41,4,18,9,19,16,19,36,27,0,0,0
149,20,32,33,1,22,10,14,31,11,24,21,3,23,15,4,44,9,19,16,19,35,25,0
150,3146,6,1,7,10,14,40,12,43,42,3,29,58,4,18,4,9,16,70,36,27,0,0
151,6664,6,1,7,10,14,8,12,87,3,63,8,12,13,5,11,75,40,27,0,0,0,0
152,1634,50,51,1,7,34,14,5,2,478,3,63,5,2,13,5,11,71,31,27,0,0,0
153,466,6,1,7,10,14,8,2,157,135,139,59,55,23,41,8,2,4,9,16,64,26,27
154,246,32,33,1,7,10,17,4,18,43,42,3,29,58,35,12,20,77,36,25,0,0,0
155,3173,6,1,7,37,17,26,2,132,133,3,109,15,26,2,13,5,11,62,9,27,0,0
156,20,6,1,22,10,14,5,2,24,21,3,23,5,2,13,5,11,79,35,28,0,0,0
157,207,6,154,7,37,17,62,2,48,21,3,47,15,62,2,13,5,11,73,26,27,0,0
158,2298,6,1,22,10,17,8,12,24,21,3,23,15,26,12,9,19,16,62,5,28,0,0
159,2061,32,33,1,7,10,14,4,18,1884,471,3,23,23,4,18,13,5,11,31,8,54,0
160,660,6,1,7,37,17,26,2,43,42,3,15,23,26,2,13,5,11,4,4,28,0,0
161,2600,6,1,7,34,14,8,2,59,950,119,46,45,23,8,2,13,5,11,77,8,25,0
162,3328,50,51,1,7,10,14,9,2,43,42,3,29,15,9,2,19,30,12,76,4,27,0
163,20,6,1,22,10,14,26,16,24,21,3,60,39,8,12,9,19,16,30,26,25,0,0
164,793,6,1,7,10,14,4,18,59,55,3,23,41,4,18,13,5,11,80,35,52,0,0
165,1680,6,1,7,10,14,4,18,46,45,3,23,15,4,18,13,5,11,69,4,54,0,0
166,20,32,33,1,22,10,14,4,44,24,21,3,47,8,12,4,9,16,79,35,25,0,0
167,161,6,1,7,37,17,35,2,59,55,29,35,2,20,4,35,25,0,0,0,0,0,0
168,271,772,6,57,22,10,14,38,12,24,21,3,29,39,15,40,12,9,19,16,77,40,25
169,968,32,33,1,22,10,14,38,12,24,21,3,47,35,12,4,9,16,74,30,52,0,0
170,215,6,1,7,10,17,36,2,86,172,23,41,36,2,30,16,19,12,100,35,52,0,0
171,528,6,1,7,37,17,8,2,43,42,3,15,29,8,2,13,5,11,75,38,27,0,0
172,428,50,51,1,7,34,14,8,2,160,167,3,29,15,8,2,20,4,9,54,0,0,0
173,1478,32,33,1,7,34,14,19,2,46,45,3,108,19,2,20,81,38,28,0,0,0,0
174,213,6,1,7,10,17,26,2,59,55,23,9,2,20,71,26,28,0,0,0,0,0,0
175,664,6,1,7,10,17,31,12,65,88,7,3,15,29,19,12,13,5,11,62,36,25,0
176,7280,32,33,1,22,10,17,4,18,24,21,3,29,39,4,18,9,19,16,78,36,28,0
177,620,6,1,22,10,14,4,44,24,21,3,15,29,39,8,12,9,19,16,40,40,52,0
178,20,6,1,22,10,14,4,18,24,21,3,47,39,4,18,13,5,11,76,5,25,0,0
179,20,6,93,22,10,17,8,11,24,21,3,29,39,8,11,13,5,11,80,38,25,0,0
180,1314,50,51,1,7,34,14,9,2,59,55,65,88,7,23,41,9,2,20,62,40,28,0
181,199,32,33,1,22,10,14,4,44,24,21,3,15,60,39,8,12,13,5,11,5,35,27
182,769,6,1,7,10,14,4,18,125,760,3,23,4,18,9,19,16,40,35,25,0,0,0
183,856,6,93,7,10,14,13,2,48,21,3,23,15,4,138,13,5,11,40,30,28,0,0
184,340,6,1,7,34,14,4,18,46,45,29,4,18,4,9,16,9,4,27,0,0,0,0
185,136,32,33,1,7,37,17,19,2,43,42,3,47,15,19,2,9,19,16,78,35,27,0
186,479,6,1,7,37,17,8,2,46,45,3,23,8,2,20,79,26,28,0,0,0,0,0
187,251,6,1,7,34,14,8,12,43,42,3,29,15,8,12,13,5,11,62,31,25,0,0
188,1345,32,33,1,22,37,17,8,12,24,21,3,23,15,4,44,20,31,35,25,0,0,0
189,409,6,1,7,10,17,4,16,48,21,3,68,8,12,5,30,16,4,9,28,0,0,0
190,303,6,1,7,10,14,4,18,406,110,15,23,4,18,13,5,11,36,40,27,0,0,0
191,188,6,1,7,10,14,36,2,131,53,3,92,36,2,13,5,11,64,19,27,0,0,0
192,2178,50,51,1,7,37,17,4,18,123,123,3,63,4,18,4,9,16,40,38,25,0,0
193,20,6,1,22,10,17,8,16,24,21,3,29,39,9,12,30,16,19,12,79,36,28,0
194,440,6,1,7,10,14,36,12,23,41,105,59,55,23,41,36,12,4,9,16,36,30,52
195,20,32,33,1,22,34,14,26,12,24,21,3,23,15,19,12,5,30,16,35,38,27,0
196,236,6,1,7,10,17,31,12,46,45,3,23,15,31,12,13,5,11,80,9,25,0,0
197,5256,6,1,7,10,17,9,2,132,133,3,15,23,9,2,13,5,11,19,30,25,0,0
198,666,6,1,7,37,17,64,2,43,42,3,23,41,64,2,13,5,11,31,9,54,0,0
199,824,32,33,1,7,37,17,4,18,86,97,3,124,4,18,20,5,36,27,0,0,0,0
200,624,32,33,1,7,10,14,4,18,43,42,3,47,15,4,18,20,76,35,28,0,0,0
201,712,6,1,7,10,14,8,2,96,53,3,15,29,8,2,9,19,16,31,35,52,0,0
202,214,32,33,1,22,37,17,9,2,24,21,3,23,15,9,2,13,5,11,19,8,54,0
203,2507,6,1,7,37,17,8,2,43,42,3,41,15,8,2,30,16,19,12,69,19,25,0
204,2577,6,1,7,10,17,4,18,103,115,53,3,23,15,4,18,13,5,11,19,38,27,0
205,20,66,1,56,49,4,18,89,3,29,4,18,13,5,11,78,9,28,0,0,0,0,0
206,592,50,51,1,7,37,17,26,2,46,45,108,26,2,13,5,11,35,4,27,0,0,0
207,20,6,1,22,10,17,26,16,24,91,3,101,15,35,12,19,30,12,8,5,25,0,0
208,1197,6,1,7,10,14,38,2,48,21,3,29,38,2,13,5,11,72,4,25,0,0,0
209,1008,32,33,1,56,10,17,31,16,267,255,68,4,44,13,5,11,78,9,54,0,0,0
210,47,6,1,7,10,17,9,2,43,42,3,47,15,9,2,30,16,19,12,30,40,28,0
211,240,163,164,67,7,37,17,38,2,43,42,3,23,15,38,2,13,5,11,75,38,25,0
212,179,50,51,1,7,34,14,36,2,149,193,97,23,36,2,13,5,11,77,38,27,0,0
213,179,6,67,7,34,14,30,2,128,123,123,23,41,30,2,13,5,11,69,31,25,0,0
214,678,6,1,7,10,14,40,12,86,97,15,308,4,18,9,19,16,26,30,52,0,0,0
215,449,6,1,7,34,14,31,2,59,55,3,23,41,31,2,20,73,30,25,0,0,0,0
216,2829,32,33,1,22,37,17,8,12,24,21,3,15,8,12,20,73,4,54,0,0,0,0
217,661,32,33,1,22,10,14,4,18,24,21,3,29,39,4,18,9,19,16,35,31,28,0
218,20,6,1,22,10,17,4,18,24,21,3,99,4,18,13,5,11,100,9,25,0,0,0
219,20,66,57,56,49,31,12,129,23,90,31,12,13,5,11,76,5,27,0,0,0,0,0
220,8716,32,33,67,22,10,17,5,12,24,21,3,29,39,15,36,12,13,5,11,40,19,27
221,797,6,1,7,10,17,8,2,65,55,3,29,58,8,2,13,5,11,36,19,25,0,0
222,463,32,33,1,7,34,14,5,2,86,97,3,41,15,5,2,13,5,11,19,38,28,0
223,178,32,33,1,7,37,17,8,2,260,3,29,15,8,2,20,83,4,28,0,0,0,0
224,196,32,33,1,7,10,14,31,12,59,55,3,63,23,36,12,5,30,16,62,5,28,0
225,1538,6,1,7,10,14,4,18,43,42,3,15,29,4,18,9,19,16,30,40,27,0,0
226,20,66,1,56,49,4,18,89,3,29,4,18,13,5,11,81,9,54,0,0,0,0,0
227,20,6,1,22,10,17,8,2,24,21,3,15,60,39,8,2,13,5,11,35,31,27,0
228,3196,50,51,1,7,10,17,8,2,197,3,41,23,8,2,19,30,12,71,5,25,0,0
229,7911,6,1,7,10,17,31,2,46,45,3,23,31,2,13,5,11,26,4,54,0,0,0
230,6613,6,1,7,10,14,4,44,46,45,3,63,8,12,13,5,11,19,36,28,0,0,0
231,819,6,1,7,37,17,35,12,46,45,3,29,35,12,13,5,11,69,4,28,0,0,0
232,439,6,1,7,34,14,40,2,103,538,15,40,2,4,9,16,8,36,28,0,0,0,0
233,20,32,33,1,22,10,14,4,18,24,21,3,29,39,4,18,13,5,11,78,36,28,0
234,3268,6,1,7,10,14,8,2,86,97,149,15,124,8,2,13,5,11,61,9,27,0,0
235,187,6,1,7,37,17,8,2,121,116,65,55,15,29,8,2,4,9,16,40,26,25,0
236,213,6,1,7,10,14,4,44,98,3,29,23,8,12,13,5,11,19,5,27,0,0,0
237,691,6,1,7,37,17,31,2,43,42,3,15,23,5,2,4,8,2,70,31,25,0,0
238,20,6,1,22,10,17,4,18,24,85,84,3,23,4,18,13,5,11,100,31,27,0,0
239,20,50,51,1,7,10,14,31,2,43,42,3,29,58,15,31,2,9,19,16,36,36,25
240,2683,50,51,1,7,10,14,8,2,65,88,7,47,118,15,8,2,4,9,16,83,31,27
241,148,6,1,7,10,14,26,2,128,23,41,26,2,13,5,11,77,4,54,0,0,0,0
242,4145,6,1,7,10,14,31,2,48,21,3,41,15,31,2,13,5,11,76,19,28,0,0
243,1023,6,1,7,10,17,9,16,106,113,53,3,94,15,4,44,9,19,16,61,31,27,0
244,1037,6,1,7,34,14,8,2,130,55,23,15,8,2,13,5,11,77,9,25,0,0,0
245,1734,6,1,22,37,17,72,2,107,3,134,102,72,2,20,4,5,25,0,0,0,0,0
246,1471,6,1,22,10,17,26,12,24,21,3,23,5,12,5,30,16,79,5,25,0,0,0
247,161,32,33,1,7,37,17,4,18,43,42,3,23,15,4,18,4,9,16,5,5,28,0
248,158,32,33,1,7,37,17,40,12,121,116,3,15,90,4,18,4,9,16,75,4,25,0
249,20,6,1,22,10,17,8,2,24,21,3,15,8,2,13,5,11,78,26,27,0,0,0
250,190,32,33,1,22,10,14,4,44,24,21,3,29,39,8,12,4,9,16,80,31,27,0
251,208,6,1,7,34,14,4,18,104,3,41,15,8,12,20,73,40,25,0,0,0,0,0
252,255,6,67,22,10,17,4,44,24,21,3,23,8,12,4,9,16,40,5,25,0,0,0
253,8439,32,33,1,7,10,17,26,12,46,45,43,42,23,15,31,12,4,9,16,70,19,27
254,474,6,1,7,10,14,4,44,86,172,48,21,68,8,12,13,5,11,26,31,25,0,0
255,1191,6,57,22,34,14,9,2,24,21,3,15,90,9,2,30,16,19,12,64,30,25,0
256,5870,6,1,7,10,17,13,2,114,145,105,68,4,44,5,30,16,40,31,28,0,0,0
257,20,6,1,22,10,17,26,12,24,21,3,29,39,15,26,12,13,5,11,26,40,27,0
258,198,6,1,7,34,14,4,18,46,45,59,55,23,41,4,18,5,30,16,38,8,27,0
259,20,6,1,7,10,17,26,12,48,21,3,23,15,26,12,13,5,11,73,5,28,0,0
260,350,6,1,7,37,17,4,18,144,46,45,23,8,2,19,30,12,31,4,25,0,0,0
261,20,6,1,7,10,17,8,12,145,105,3,29,58,9,12,13,5,11,31,19,25,0,0
262,20,6,57,22,10,14,8,2,24,21,3,23,15,8,2,13,5,11,73,35,28,0,0
263,20,6,1,22,10,14,8,16,24,21,3,29,39,8,16,20,40,38,25,0,0,0,0
264,248,32,33,1,7,34,14,19,12,46,45,349,23,15,5,12,4,9,16,40,19,25,0
265,1342,32,33,1,22,34,14,31,12,24,21,3,29,39,31,12,13,5,11,74,40,52,0
266,2042,6,1,22,10,17,8,12,24,21,3,60,39,8,12,4,9,16,64,38,27,0,0
267,7221,6,1,56,10,17,8,2,166,170,15,90,8,2,5,30,16,72,36,28,0,0,0
268,20,66,1,56,49,4,18,89,3,29,4,18,13,5,11,80,5,28,0,0,0,0,0
269,303,6,1,7,10,14,4,44,46,45,3,23,15,4,44,13,5,11,100,30,25,0,0
270,1187,6,1,7,37,17,40,2,86,125,86,97,90,30,2,5,30,16,31,5,27,0,0
271,368,6,1,7,10,14,31,2,193,97,15,31,2,13,5,11,74,31,25,0,0,0,0
272,269,6,1,22,10,14,9,16,24,21,3,23,4,44,9,19,16,74,19,25,0,0,0
273,266,6,1,7,37,17,36,2,59,21,119,3,15,295,36,2,13,5,11,61,38,25,0
274,20,6,1,22,49,4,112,24,21,3,47,39,4,16,13,5,11,100,9,28,0,0,0
275,6515,6,67,7,10,17,4,44,120,127,3,15,124,4,44,13,5,11,61,26,27,0,0
276,510,6,1,7,37,17,8,2,43,42,3,122,15,9,2,19,30,12,79,38,27,0,0
277,601,6,1,7,34,14,8,2,277,53,3,41,8,2,13,5,11,80,26,28,0,0,0
278,20,6,1,22,10,17,4,18,24,21,3,101,15,4,18,13,5,11,83,9,27,0,0
279,20,6,67,7,10,17,9,12,48,91,3,15,9,12,13,5,11,71,9,54,0,0,0
280,254,6,1,7,10,14,4,18,120,127,3,15,4,18,20,69,4,54,0,0,0,0,0
281,20,66,67,56,49,4,18,129,3,23,90,4,18,13,5,11,19,26,27,0,0,0,0
282,20,6,1,22,49,4,112,24,21,3,29,39,4,112,13,5,11,77,26,28,0,0,0
283,431,6,1,7,10,17,4,18,119,3,47,15,4,18,9,19,16,76,5,28,0,0,0
284,271,180,32,33,1,22,10,14,4,18,217,3,147,102,15,4,18,5,30,16,26,4,54
285,480,6,1,7,37,17,4,18,59,55,3,109,4,18,30,16,19,12,26,19,28,0,0
286,1797,6,1,7,10,14,4,18,59,55,3,23,29,4,18,13,5,11,77,35,27,0,0
